number of points, dim, version, break interval, time
2000, 200, naive, 0, 233.681732
2000, 200, naive break, 1, 233.415939
2000, 200, naive break, 2, 233.638184
2000, 200, naive break, 3, 233.949188
2000, 200, naive break, 4, 233.711838
2000, 200, naive break, 5, 233.905029
2000, 200, naive break, 6, 233.656479
2000, 200, naive break, 7, 233.856506
2000, 200, naive break, 8, 233.707901
2000, 200, naive break, 9, 234.141479
2000, 200, naive break, 10, 233.836319
2000, 200, naive break, 11, 233.978073
2000, 200, naive break, 12, 233.799332
2000, 200, naive break, 13, 233.998947
2000, 200, naive break, 14, 233.702332
2000, 200, naive break, 15, 233.994659
2000, 200, naive break, 16, 233.792709
2000, 200, naive break, 17, 233.995911
2000, 200, naive break, 18, 233.778427
2000, 200, naive break, 19, 233.992828
2000, 200, naive break, 20, 233.793564
2000, 200, naive break, 21, 234.046875
2000, 200, naive break, 22, 233.814972
2000, 200, naive break, 23, 234.233948
2000, 200, naive break, 24, 234.016479
2000, 200, naive break, 25, 234.029984
2000, 200, naive break, 26, 233.837860
2000, 200, naive break, 27, 233.983353
2000, 200, naive break, 28, 233.882492
2000, 200, naive break, 29, 234.033722
2000, 200, naive break, 30, 233.793991
2000, 200, naive break, 31, 233.886948
2000, 200, naive break, 32, 233.838531
2000, 200, naive break, 33, 234.066940
2000, 200, naive break, 34, 233.870560
2000, 200, naive break, 35, 234.069122
2000, 200, naive break, 36, 233.820770
2000, 200, naive break, 37, 234.046692
2000, 200, naive break, 38, 233.848099
2000, 200, naive break, 39, 233.979141
2000, 200, naive break, 40, 233.782501
2000, 200, naive break, 41, 234.032379
2000, 200, naive break, 42, 233.824448
2000, 200, naive break, 43, 234.060059
2000, 200, naive break, 44, 233.780319
2000, 200, naive break, 45, 234.047012
2000, 200, naive break, 46, 233.746490
2000, 200, naive break, 47, 234.024582
2000, 200, naive break, 48, 233.748230
2000, 200, naive break, 49, 233.985886
2000, 200, naive break, 50, 233.855072
2000, 200, naive, 0, 246.248413
2000, 200, naive break, 1, 233.299484
2000, 200, naive break, 2, 233.337341
2000, 200, naive break, 3, 233.274246
2000, 200, naive break, 4, 234.243866
2000, 200, naive break, 5, 233.386658
2000, 200, naive break, 6, 233.097092
2000, 200, naive break, 7, 233.254181
2000, 200, naive break, 8, 233.538010
2000, 200, naive break, 9, 234.141922
2000, 200, naive break, 10, 233.696869
2000, 200, naive break, 11, 233.881348
2000, 200, naive break, 12, 233.611130
2000, 200, naive break, 13, 233.874649
2000, 200, naive break, 14, 233.637222
2000, 200, naive break, 15, 233.881378
2000, 200, naive break, 16, 233.522659
2000, 200, naive break, 17, 233.756287
2000, 200, naive break, 18, 233.648376
2000, 200, naive break, 19, 233.863907
2000, 200, naive break, 20, 233.662720
2000, 200, naive break, 21, 233.887482
2000, 200, naive break, 22, 233.622787
2000, 200, naive break, 23, 233.772766
2000, 200, naive break, 24, 233.596634
2000, 200, naive break, 25, 233.864227
2000, 200, naive break, 26, 233.737030
2000, 200, naive break, 27, 233.930145
2000, 200, naive break, 28, 235.618210
2000, 200, naive break, 29, 234.691879
2000, 200, naive break, 30, 234.993637
2000, 200, naive break, 31, 234.681595
2000, 200, naive break, 32, 234.372070
2000, 200, naive break, 33, 234.500549
2000, 200, naive break, 34, 233.236542
2000, 200, naive break, 35, 233.891907
2000, 200, naive break, 36, 233.807358
2000, 200, naive break, 37, 234.022690
2000, 200, naive break, 38, 233.772537
2000, 200, naive break, 39, 234.000793
2000, 200, naive break, 40, 233.732315
2000, 200, naive break, 41, 233.976837
2000, 200, naive break, 42, 233.738617
2000, 200, naive break, 43, 233.959641
2000, 200, naive break, 44, 233.713318
2000, 200, naive break, 45, 233.887650
2000, 200, naive break, 46, 233.779877
2000, 200, naive break, 47, 234.027771
2000, 200, naive break, 48, 233.693024
2000, 200, naive break, 49, 234.007034
2000, 200, naive break, 50, 233.734619
2000, 200, naive, 0, 233.675003
2000, 200, naive break, 1, 233.140930
2000, 200, naive break, 2, 233.851074
2000, 200, naive break, 3, 233.631363
2000, 200, naive break, 4, 234.235489
2000, 200, naive break, 5, 233.548218
2000, 200, naive break, 6, 233.796509
2000, 200, naive break, 7, 233.523102
2000, 200, naive break, 8, 233.759293
2000, 200, naive break, 9, 233.363327
2000, 200, naive break, 10, 233.601410
2000, 200, naive break, 11, 233.342972
2000, 200, naive break, 12, 233.782593
2000, 200, naive break, 13, 233.557465
2000, 200, naive break, 14, 233.712601
2000, 200, naive break, 15, 233.506180
2000, 200, naive break, 16, 233.775101
2000, 200, naive break, 17, 234.116455
2000, 200, naive break, 18, 233.843292
2000, 200, naive break, 19, 233.535675
2000, 200, naive break, 20, 233.604034
2000, 200, naive break, 21, 233.584381
2000, 200, naive break, 22, 233.778076
2000, 200, naive break, 23, 233.542587
2000, 200, naive break, 24, 233.715164
2000, 200, naive break, 25, 233.588806
2000, 200, naive break, 26, 233.594299
2000, 200, naive break, 27, 233.560959
2000, 200, naive break, 28, 233.890854
2000, 200, naive break, 29, 233.540771
2000, 200, naive break, 30, 233.782043
2000, 200, naive break, 31, 233.436676
2000, 200, naive break, 32, 233.861786
2000, 200, naive break, 33, 233.564865
2000, 200, naive break, 34, 233.819901
2000, 200, naive break, 35, 233.605728
2000, 200, naive break, 36, 233.750977
2000, 200, naive break, 37, 233.371674
2000, 200, naive break, 38, 233.850052
2000, 200, naive break, 39, 233.169373
2000, 200, naive break, 40, 234.020508
2000, 200, naive break, 41, 234.046722
2000, 200, naive break, 42, 234.344894
2000, 200, naive break, 43, 234.020004
2000, 200, naive break, 44, 234.169312
2000, 200, naive break, 45, 234.110565
2000, 200, naive break, 46, 234.295227
2000, 200, naive break, 47, 234.051453
2000, 200, naive break, 48, 234.317276
2000, 200, naive break, 49, 234.091064
2000, 200, naive break, 50, 234.240036
